Value,REG_NAME_7,MVG_NAME,MVS_NAME,EFG_DK
1,Australian Alps,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
2,Ben Lomond,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
3,Furneaux,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
4,King,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
5,South East Corner,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
6,South Eastern Highlands,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
7,South Eastern Queensland,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
8,Sydney Basin,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
9,Tasmanian Central Highlands,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
10,Tasmanian Northern Midlands,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
11,Tasmanian Northern Slopes,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
12,Tasmanian South East,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
13,Tasmanian Southern Ranges,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
14,Tasmanian West,Rainforests and Vine Thickets,Cool temperate rainforest,T2.3
15,Brigalow Belt North,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T1.1
16,Brigalow Belt South,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T1.2
17,Central Mackay Coast,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T1.1
18,Cape York Peninsula,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,"T1.1, 0.49; TF1.1, 0.51"
19,Einasleigh Uplands,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T1.1
20,Gulf Plains,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T1.2
21,Nandewar,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T1.2
22,New England Tablelands,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T1.1
23,NSW North Coast,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T1.1
24,South East Corner,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T2.4
25,South Eastern Highlands,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T2.4
26,South Eastern Queensland,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T1.1
27,Sydney Basin,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T2.4
28,Wet Tropics,Rainforests and Vine Thickets,Tropical or sub-tropical rainforest,T1.1
29,Wet Tropics,"Regrowth, modified native vegetation",Tropical or sub-tropical rainforest,"T1.1, 0.49; T7.3, 0.51"
30,South Eastern Queensland,Rainforests and Vine Thickets,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),"T1.1, 0.49; T2.5, 0.51"
31,Australian Alps,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
32,Brigalow Belt North,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
33,Brigalow Belt South,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
34,Ben Lomond,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
35,Central Mackay Coast,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
36,Cape York Peninsula,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
37,Furneaux,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
38,Jarrah Forest,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
39,King,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
40,Nandewar,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
41,New England Tablelands,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
42,NSW North Coast,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
43,South East Corner,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
44,South Eastern Highlands,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
45,South Eastern Queensland,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
46,Sydney Basin,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
47,Tasmanian Central Highlands,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
48,Tasmanian Northern Midlands,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
49,Tasmanian Northern Slopes,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
50,Tasmanian South East,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
51,Tasmanian Southern Ranges,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
52,Tasmanian West,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
53,Warren,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
54,Wet Tropics,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
55,Australian Alps,Eucalypt Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
56,Brigalow Belt South,Eucalypt Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
57,Furneaux,Eucalypt Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
58,Nandewar,Eucalypt Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
59,Naracoorte Coastal Plain,Eucalypt Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
60,New England Tablelands,Eucalypt Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
61,NSW North Coast,Eucalypt Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
62,South East Coastal Plain,Eucalypt Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
63,South East Corner,Eucalypt Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
64,South Eastern Highlands,Eucalypt Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
65,South Eastern Queensland,Eucalypt Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
66,Sydney Basin,Eucalypt Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),T2.5
67,South Eastern Queensland,Rainforests and Vine Thickets,Eucalyptus open forests with a shrubby understorey,"T1.1, 0.49; T2.5, 0.51"
68,Brigalow Belt South,Eucalypt Tall Open Forests,Eucalyptus open forests with a shrubby understorey,T4.4
69,Sydney Basin,Eucalypt Tall Open Forests,Eucalyptus open forests with a shrubby understorey,"T2.6, 0.9; T4.4, 0.1"
70,Australian Alps,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
71,Avon Wheatbelt,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
72,Brigalow Belt North,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,"T1.2, 0.21; T4.2, 0.7; T2.6, 0.2"
73,Brigalow Belt South,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,"T2.6, 0.9; TF1.5, 0.1"
74,Ben Lomond,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
75,Central Mackay Coast,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
76,Cobar Peneplain,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,TF1.5
77,Desert Uplands,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T4.2
78,Darling Riverine Plains,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,"TF1.2, 0.7; TF1.5, 0.3"
79,Esperance Plains,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
80,Eyre Yorke Block,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
81,Flinders Lofty Block,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
82,Furneaux,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
83,Gulf Fall and Uplands,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T4.3
84,Gulf Coastal,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T4.3
85,Gulf Plains,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T4.3
86,Jarrah Forest,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
87,Kanmantoo,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
88,King,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
89,Murray Darling Depression,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,TF1.5
90,Mount Isa Inlier,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T4.3
91,Mulga Lands,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
92,Nandewar,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
93,New England Tablelands,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
94,NSW North Coast,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
95,NSW South Western Slopes,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,"T2.6, 0.6; TF1.5, 0.4"
96,Riverina,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,TF1.5
97,South East Coastal Plain,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
98,South East Corner,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
99,South Eastern Highlands,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
100,South Eastern Queensland,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
101,Southern Volcanic Plain,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
102,Swan Coastal Plain,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
103,Sydney Basin,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
104,Tasmanian Central Highlands,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
105,Tasmanian Northern Midlands,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
106,Tasmanian Northern Slopes,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
107,Tasmanian South East,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
108,Tasmanian Southern Ranges,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
109,Tasmanian West,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
110,Victorian Midlands,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
111,Warren,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
112,Wet Tropics,Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,T4.3
113,Arnhem Coast,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T4.3
114,Arnhem Plateau,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T4.3
115,Brigalow Belt South,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
116,Ben Lomond,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T4.4
117,Central Arnhem,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T4.3
118,Daly Basin,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T4.3
119,Darwin Coastal,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T4.3
120,Esperance Plains,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
121,Eyre Yorke Block,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,"T2.6, 0.6; T4.4, 0.4"
122,Flinders Lofty Block,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,"T2.6, 0.6; T4.4, 0.4"
123,Gulf Fall and Uplands,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T4.3
124,Gulf Coastal,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T4.3
125,Jarrah Forest,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
126,Kanmantoo,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
127,Mallee,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
128,Murray Darling Depression,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,"T2.6, 0.6; T4.4, 0.4"
129,Nandewar,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
130,New England Tablelands,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
131,NSW North Coast,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
132,NSW South Western Slopes,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
133,Ord Victoria Plain,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T4.3
134,Pine Creek,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T4.3
135,South East Corner,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,"T2.6, 0.3; T3.2, 0.7"
136,South Eastern Highlands,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,"T2.6, 0.3; T3.2, 0.7"
137,South Eastern Queensland,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
138,Sydney Basin,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
139,Tasmanian Central Highlands,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T4.4
140,Tasmanian Northern Midlands,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T4.4
141,Tasmanian Northern Slopes,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T4.4
142,Tasmanian South East,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,"T4.4, 0.6; T2.6, 0.4"
143,Tasmanian Southern Ranges,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T4.4
144,Tasmanian West,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T4.4
145,Victoria Bonaparte,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T4.3
146,Warren,Eucalypt Low Open Forests,Eucalyptus open forests with a shrubby understorey,T2.6
147,Nandewar,Eucalypt Woodlands,Eucalyptus open forests with a shrubby understorey,T2.6
148,New England Tablelands,Eucalypt Woodlands,Eucalyptus open forests with a shrubby understorey,T2.6
149,NSW North Coast,Eucalypt Woodlands,Eucalyptus open forests with a shrubby understorey,T2.6
150,South East Corner,Eucalypt Woodlands,Eucalyptus open forests with a shrubby understorey,T4.4
151,South Eastern Highlands,Eucalypt Woodlands,Eucalyptus open forests with a shrubby understorey,T4.4
152,South Eastern Queensland,Eucalypt Woodlands,Eucalyptus open forests with a shrubby understorey,T2.6
153,NSW South Western Slopes,"Cleared, non-native vegetation, buildings",Eucalyptus open forests with a shrubby understorey,T4.4
154,South Eastern Queensland,Rainforests and Vine Thickets,Eucalyptus open forests with a grassy understorey,"T1.1, 0.4; T2.5, 0.5; T4.4, 0.1"
155,Australian Alps,Eucalypt Tall Open Forests,Eucalyptus open forests with a grassy understorey,"T2.5, 0.8; T4.4, 0.2"
159,NSW North Coast,Eucalypt Tall Open Forests,Eucalyptus open forests with a grassy understorey,T2.5
160,South Eastern Highlands,Eucalypt Tall Open Forests,Eucalyptus open forests with a grassy understorey,"T2.5, 0.2; T2.6, 0.3; T4.4, 0.5"
161,South Eastern Queensland,Eucalypt Tall Open Forests,Eucalyptus open forests with a grassy understorey,T2.5
162,Arnhem Coast,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
163,Arnhem Plateau,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
164,Australian Alps,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T2.6
165,Brigalow Belt North,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
166,Brigalow Belt South,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,"T2.6, 0.8 (NSW); T4.4, 0.2 (NSW); T2.6, 0.2 (Qld); T4.2, 0.6 (Qld); T1.2, 0.2 (Qld)"
167,Central Arnhem,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
168,Central Mackay Coast,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
169,Cobar Peneplain,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T2.6
170,Cape York Peninsula,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
171,Daly Basin,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
172,Darwin Coastal,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
173,Desert Uplands,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
174,Darling Riverine Plains,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,TF1.5
175,Einasleigh Uplands,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
176,Eyre Yorke Block,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.4
177,Flinders Lofty Block,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.4
178,Gulf Fall and Uplands,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
179,Gulf Coastal,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
180,Gulf Plains,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
181,Jarrah Forest,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,"T2.6, 0.49; T4.4, 0.51"
182,Kanmantoo,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.4
183,Murray Darling Depression,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,TF1.5
184,Mulga Lands,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
185,Nandewar,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T2.6
186,New England Tablelands,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,"T2.6, 0.4; T4.4, 0.6"
187,NSW North Coast,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T2.6
188,NSW South Western Slopes,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T2.6
189,Ord Victoria Plain,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
190,Pine Creek,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
191,Riverina,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,"TF1.2, 0.4; TF1.5, 0.6"
192,South East Coastal Plain,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T2.6
193,South East Corner,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T2.6
194,South Eastern Highlands,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T2.6
195,South Eastern Queensland,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T2.6
196,Sturt Plateau,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
197,Southern Volcanic Plain,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T2.6
198,Sydney Basin,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T2.6
199,Tiwi Cobourg,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
200,Victoria Bonaparte,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
201,Victorian Midlands,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T2.6
202,Wet Tropics,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
204,Arnhem Plateau,Eucalypt Low Open Forests,Eucalyptus open forests with a grassy understorey,"T4.2, 0.6; T4.3, 0.4"
208,Cape York Peninsula,Eucalypt Low Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
213,Gulf Fall and Uplands,Eucalypt Low Open Forests,Eucalyptus open forests with a grassy understorey,"T4.2, 0.4; T4.3, 0.6"
223,Ord Victoria Plain,Eucalypt Low Open Forests,Eucalyptus open forests with a grassy understorey,"TF1.5, 0.5; TF1.2, 0.3; T4.2, 0.2"
224,Pine Creek,Eucalypt Low Open Forests,Eucalyptus open forests with a grassy understorey,T4.2
230,Brigalow Belt South,Eucalypt Woodlands,Eucalyptus open forests with a grassy understorey,TF1.5
231,Cobar Peneplain,Eucalypt Woodlands,Eucalyptus open forests with a grassy understorey,TF1.5
232,Darling Riverine Plains,Eucalypt Woodlands,Eucalyptus open forests with a grassy understorey,TF1.5
233,Mulga Lands,Eucalypt Woodlands,Eucalyptus open forests with a grassy understorey,TF1.5
234,NSW North Coast,Eucalypt Woodlands,Eucalyptus open forests with a grassy understorey,T2.6
235,South Eastern Queensland,Eucalypt Woodlands,Eucalyptus open forests with a grassy understorey,T2.6
236,Brigalow Belt North,Rainforests and Vine Thickets,Warm temperate rainforest,"T1.1, 0.49; T1.3, 0.51"
237,Brigalow Belt South,Rainforests and Vine Thickets,Warm temperate rainforest,T1.2
238,Central Mackay Coast,Rainforests and Vine Thickets,Warm temperate rainforest,"T1.1, 0.49; T1.3, 0.51"
239,Cape York Peninsula,Rainforests and Vine Thickets,Warm temperate rainforest,"T1.1, 0.51; T1.3, 0.49"
240,Einasleigh Uplands,Rainforests and Vine Thickets,Warm temperate rainforest,T1.1
241,Furneaux,Rainforests and Vine Thickets,Warm temperate rainforest,T2.4
242,New England Tablelands,Rainforests and Vine Thickets,Warm temperate rainforest,T2.4
243,NSW North Coast,Rainforests and Vine Thickets,Warm temperate rainforest,"T1.1, 0.4; T1.2, 0.1; T2.4, 0.5"
244,South East Coastal Plain,Rainforests and Vine Thickets,Warm temperate rainforest,T2.4
245,South East Corner,Rainforests and Vine Thickets,Warm temperate rainforest,T2.4
246,South Eastern Highlands,Rainforests and Vine Thickets,Warm temperate rainforest,T2.4
247,South Eastern Queensland,Rainforests and Vine Thickets,Warm temperate rainforest,"T1.1, 0.6; T2.4, 0.4"
248,Sydney Basin,Rainforests and Vine Thickets,Warm temperate rainforest,"T1.1, 0.1; T2.4, 0.9"
249,Wet Tropics,Rainforests and Vine Thickets,Warm temperate rainforest,"T1.1, 0.8; T1.3, 0.2"
250,Arnhem Coast,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,T4.2
251,Arnhem Plateau,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,T4.2
252,Central Arnhem,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,T4.2
253,Central Kimberley,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,T4.2
254,Daly Basin,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,T4.2
255,Darwin Coastal,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,T4.2
256,Esperance Plains,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,T2.6
257,Gulf Fall and Uplands,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,T4.2
258,Northern Kimberley,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,"T4.2, 0.7; T4.3, 0.3"
259,Ord Victoria Plain,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,T4.2
260,Pine Creek,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,T4.2
261,Sturt Plateau,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,T4.2
262,Tiwi Cobourg,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,T4.2
263,Victoria Bonaparte,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,T4.2
264,Arnhem Coast,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,T4.3
265,Arnhem Plateau,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,"T3.1, 0.6; T4.3, 0.4"
266,Australian Alps,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,T4.4
267,Avon Wheatbelt,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,T4.4
268,Brigalow Belt North,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,T4.2
269,Brigalow Belt South,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,T4.2
270,Ben Lomond,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,T2.6
271,Broken Hill Complex,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,TF1.5
272,Carnarvon,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,TF1.5
273,Central Arnhem,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,T4.3
274,Central Kimberley,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,TF1.5
